"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1256","validateUserListResponse","Suite1","Thu Jul 24 16:05:55 IST 2025","passed","Thu Jul 24 16:05:57 IST 2025","api.test.HamcrestTest","Tests","api.test.HamcrestTest","validateUserListResponse"
"","87","testAllFirstNames","Suite","Tue Jul 29 01:27:10 IST 2025","passed","Tue Jul 29 01:27:10 IST 2025","api.test.JsonPathTests","Test","api.test.JsonPathTests","testAllFirstNames"
"","609","testBearerTokenAuthentication","Suite","Tue Jul 29 01:27:07 IST 2025","passed","Tue Jul 29 01:27:07 IST 2025","api.test.AuthenticationTests","Test","api.test.AuthenticationTests","testBearerTokenAuthentication"
"","825","testSchemaValidation","Suite","Tue Jul 29 01:27:08 IST 2025","passed","Tue Jul 29 01:27:09 IST 2025","api.test.SchemaValidationTest","Test","api.test.SchemaValidationTest","testSchemaValidation"
"","5288","createUserTest","Suite","Tue Jul 29 01:26:43 IST 2025","passed","Tue Jul 29 01:26:48 IST 2025","api.test.UserChainingTest","Test","api.test.UserChainingTest","createUserTest"
"","78","testFirstNameExists","Suite","Tue Jul 29 01:27:10 IST 2025","passed","Tue Jul 29 01:27:10 IST 2025","api.test.JsonPathTests","Test","api.test.JsonPathTests","testFirstNameExists"
"","1392","testDigestAuth","Suite1","Thu Jul 24 16:06:03 IST 2025","passed","Thu Jul 24 16:06:04 IST 2025","api.test.AuthTests","Tests","api.test.AuthTests","testDigestAuth"
"","2005","testBasicAuth","Suite1","Thu Jul 24 16:06:01 IST 2025","passed","Thu Jul 24 16:06:03 IST 2025","api.test.AuthTests","Tests","api.test.AuthTests","testBasicAuth"
"","397","testSerializationUsingPOJO","Suite","Tue Jul 29 01:26:59 IST 2025","failed","Tue Jul 29 01:27:00 IST 2025","api.test.SerilizationDeseriliztionTest","Test","api.test.SerilizationDeseriliztionTest","testSerializationUsingPOJO"
"","1786","testApiKey","Suite1","Thu Jul 24 16:06:06 IST 2025","passed","Thu Jul 24 16:06:08 IST 2025","api.test.AuthTests","Tests","api.test.AuthTests","testApiKey"
"","5401","testCreateUser","Default suite","Tue Jul 29 00:59:33 IST 2025","passed","Tue Jul 29 00:59:39 IST 2025","api.test.DataDrivenTest","Default test","api.test.DataDrivenTest","testCreateUser"
"","1155","testPostUser","Suite1","Thu Jul 24 16:05:51 IST 2025","passed","Thu Jul 24 16:05:52 IST 2025","api.test.DataDrivenTest","Tests","api.test.DataDrivenTest","testPostUser"
"","1370","testPreemptiveBasicAuthentication","Suite","Tue Jul 29 01:27:05 IST 2025","passed","Tue Jul 29 01:27:07 IST 2025","api.test.AuthenticationTests","Test","api.test.AuthenticationTests","testPreemptiveBasicAuthentication"
"","1220","createUser","Suite1","Thu Jul 24 16:05:59 IST 2025","passed","Thu Jul 24 16:06:01 IST 2025","api.test.RequestSpecBuilderResponseSpecBuilderTest","Tests","api.test.RequestSpecBuilderResponseSpecBuilderTest","createUser"
" convert Json to POJO","51","convertJsonToPOJO","Suite1","Thu Jul 24 16:05:45 IST 2025","passed","Thu Jul 24 16:05:45 IST 2025","api.test.SerilizationDeserlizationTest","Tests","api.test.SerilizationDeserlizationTest","convertJsonToPOJO"
"","362","updateUserTest","Suite","Tue Jul 29 01:26:48 IST 2025","passed","Tue Jul 29 01:26:49 IST 2025","api.test.UpdateUserChainingTest","Test","api.test.UpdateUserChainingTest","updateUserTest"
